GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales,SalesModels.User,15,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.sales.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.sales.api,SalesApi,264,5,36,0,78,1,27,1,9,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.adapter.out.persistence,OracleAccountReader,66,6,0,0,5,1,8,1,8,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.marketing.api.model,Marketing,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.marketing.api.model,ErrorResponse,269,0,20,0,62,0,34,0,24,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.marketing.api.model,Campaign,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.marketing.api.model,Prospect,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api,ClientApi,302,25,40,0,86,5,31,5,11,5
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesModels.CasesSummary,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesService,0,69,0,0,0,4,0,7,0,7
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesMapperImpl,6,76,3,3,3,22,3,4,0,4
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesModels.CasesOrq,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesModels.Cases,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases,CasesModels,0,18,0,0,0,2,0,2,0,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.account.api,AccountApi,390,10,52,0,113,2,40,2,14,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.cases.api.model,ErrorResponse,269,0,20,0,62,0,34,0,24,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.cases.api.model,Cases,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.cases.api.model,CasesOrq,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.interfaces.cases.api.model,CasesSummary,173,31,16,0,35,14,17,9,9,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.application,GetSalesTerritory,10,6,0,0,1,3,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.application,GetProductIndicators,10,6,0,0,1,3,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.application,GetSalesUser,10,6,0,0,1,3,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.application.query,GetAccount,10,6,0,0,1,1,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.application.query,GetFinancial,10,6,0,0,1,1,1,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.account.application.query,GetExpedient,10,6,0,0,1,1,1,1,1,1
